inverter,date,status,root_level,fault_type,confidence,confidence_score,likely_causes,recommended_action
INVERTER4,2026-01-29,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER4,2026-01-30,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER4,2026-01-31,CRITICAL,GRID,PHASE IMBALANCE,HIGH,1.0,"Reduced power output, Phase imbalance","Check transformer LV side phase voltages, DC combiner box fuse"
INVERTER4,2026-02-01,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER4,2026-02-02,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER4,2026-02-03,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER4,2026-02-04,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER4,2026-02-05,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER4,2026-02-06,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER4,2026-02-07,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER4,2026-02-08,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER4,2026-02-09,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,,Due to changes in weather conditions
INVERTER4,2026-02-10,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER4,2026-02-11,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER4,2026-02-12,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER4,2026-02-13,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER4,2026-02-14,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Reduced power output, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER5,2026-01-22,MONITOR,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.53,,
INVERTER5,2026-01-23,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Reduced power output, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER5,2026-01-24,MONITOR,STRING,PHASE IMBALANCE,MEDIUM,0.7,,
INVERTER5,2026-01-25,STABLE,GRID,VOLTAGE FLUCTUATION,HIGH,0.85,,
INVERTER5,2026-01-26,STABLE,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,
INVERTER5,2026-01-27,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,Due to changes in weather conditions
INVERTER5,2026-01-28,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER5,2026-01-29,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER5,2026-01-30,CRITICAL,GRID,GRID IMBALANCE,HIGH,1.0,Grid instability,Check grid supply quality
INVERTER5,2026-01-31,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER5,2026-02-01,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER5,2026-02-02,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER5,2026-02-03,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER5,2026-02-04,CRITICAL,GRID,VOLTAGE IMBALANCE,HIGH,0.83,"Reduced power output, Voltage imbalance",Check phase voltage differences
INVERTER5,2026-02-05,CRITICAL,GRID,GRID IMBALANCE,HIGH,1.0,Grid instability,Check grid supply quality
INVERTER5,2026-02-06,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER5,2026-02-07,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER5,2026-02-08,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER5,2026-02-09,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER5,2026-02-10,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER5,2026-02-11,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER5,2026-02-12,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER5,2026-02-13,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,Due to changes in weather conditions
INVERTER5,2026-02-14,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,Due to changes in weather conditions
INVERTER6,2026-01-22,MONITOR,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.53,,
INVERTER6,2026-01-23,CRITICAL,GRID,PHASE IMBALANCE,HIGH,1.0,"Reduced power output, Phase imbalance","Check transformer LV side phase voltages, DC combiner box fuse"
INVERTER6,2026-01-24,MONITOR,GRID,PHASE IMBALANCE,MEDIUM,0.7,,
INVERTER6,2026-01-25,STABLE,INVERTER,SYSTEM ANOMALY,LOW,0.35,,
INVERTER6,2026-01-26,STABLE,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,
INVERTER6,2026-01-27,DEGRADED,STRING,PHASE IMBALANCE,HIGH,1.0,,Due to changes in weather conditions
INVERTER6,2026-01-28,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER6,2026-01-29,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER6,2026-01-30,CRITICAL,GRID,GRID IMBALANCE,HIGH,1.0,Grid instability,Check grid supply quality
INVERTER6,2026-01-31,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER6,2026-02-01,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Reduced power output, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER6,2026-02-02,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER6,2026-02-03,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER6,2026-02-04,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER6,2026-02-05,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER6,2026-02-06,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER6,2026-02-07,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER6,2026-02-08,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER6,2026-02-09,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,Due to changes in weather conditions
INVERTER6,2026-02-10,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,,Due to changes in weather conditions
INVERTER6,2026-02-11,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,,Due to changes in weather conditions
INVERTER6,2026-02-12,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER6,2026-02-13,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER6,2026-02-14,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER7,2026-01-22,MONITOR,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.7,,
INVERTER7,2026-01-23,STABLE,INVERTER,SYSTEM ANOMALY,LOW,0.35,,
INVERTER7,2026-01-24,DEGRADED,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,Due to changes in weather conditions
INVERTER7,2026-01-25,STABLE,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,
INVERTER7,2026-01-26,CRITICAL,STRING,PHASE IMBALANCE,HIGH,1.0,"Input power fluctuation, Phase imbalance",Check string currents and connectors
INVERTER7,2026-01-27,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Reduced power output","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-01-28,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-01-29,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER7,2026-01-30,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-01-31,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER7,2026-02-01,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Reduced power output","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-02-02,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-02-03,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER7,2026-02-04,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-02-05,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Reduced power output","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-02-06,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-02-07,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-02-08,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,Due to changes in weather conditions
INVERTER7,2026-02-09,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER7,2026-02-10,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,,Due to changes in weather conditions
INVERTER7,2026-02-11,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER7,2026-02-12,DEGRADED,GRID,GRID IMBALANCE,HIGH,1.0,,Due to changes in weather conditions
INVERTER7,2026-02-13,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER7,2026-02-14,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER8,2026-01-22,MONITOR,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.7,,
INVERTER8,2026-01-23,STABLE,GRID,PHASE IMBALANCE,HIGH,0.85,,
INVERTER8,2026-01-24,MONITOR,GRID,PHASE IMBALANCE,MEDIUM,0.7,,
INVERTER8,2026-01-25,STABLE,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,
INVERTER8,2026-01-26,STABLE,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,
INVERTER8,2026-01-27,STABLE,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,
INVERTER8,2026-01-28,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER8,2026-01-29,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER8,2026-01-30,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER8,2026-01-31,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER8,2026-02-01,CRITICAL,GRID,GRID IMBALANCE,HIGH,1.0,Grid instability,Check grid supply quality
INVERTER8,2026-02-02,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,"Voltage instability, Reduced power output","Check reactive power of inverter, Measure grid voltage"
INVERTER8,2026-02-03,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER8,2026-02-04,CRITICAL,GRID,PHASE IMBALANCE,HIGH,1.0,"Reduced power output, Phase imbalance","Check transformer LV side phase voltages, DC combiner box fuse"
INVERTER8,2026-02-05,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER8,2026-02-06,CRITICAL,GRID,PHASE IMBALANCE,HIGH,1.0,"Reduced power output, Phase imbalance","Check transformer LV side phase voltages, DC combiner box fuse"
INVERTER8,2026-02-07,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER8,2026-02-08,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,Due to changes in weather conditions
INVERTER8,2026-02-09,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,,Due to changes in weather conditions
INVERTER8,2026-02-10,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER8,2026-02-11,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER8,2026-02-12,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,,Due to changes in weather conditions
INVERTER8,2026-02-13,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER8,2026-02-14,DEGRADED,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,Due to changes in weather conditions
INVERTER9,2026-01-22,MONITOR,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.7,,
INVERTER9,2026-01-23,STABLE,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,
INVERTER9,2026-01-24,MONITOR,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.53,,
INVERTER9,2026-01-25,STABLE,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.68,,
INVERTER9,2026-01-26,DEGRADED,GRID,GRID IMBALANCE,HIGH,0.85,,Due to changes in weather conditions
INVERTER9,2026-01-27,STABLE,GRID,PHASE IMBALANCE,HIGH,1.0,,
INVERTER9,2026-01-28,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER9,2026-01-29,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER9,2026-01-30,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.83,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER9,2026-01-31,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Reduced power output, Voltage imbalance","Check reactive power of inverter, Measure grid voltage"
INVERTER9,2026-02-01,CRITICAL,GRID,PHASE IMBALANCE,HIGH,1.0,"Reduced power output, Phase imbalance","Check transformer LV side phase voltages, DC combiner box fuse"
INVERTER9,2026-02-02,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER9,2026-02-03,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER9,2026-02-04,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,"Voltage instability, Reduced power output","Check reactive power of inverter, Measure grid voltage"
INVERTER9,2026-02-05,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER9,2026-02-06,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER9,2026-02-07,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER9,2026-02-08,STABLE,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,
INVERTER9,2026-02-09,STABLE,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,
INVERTER9,2026-02-10,STABLE,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,
INVERTER9,2026-02-11,STABLE,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,
INVERTER9,2026-02-12,STABLE,GRID,VOLTAGE FLUCTUATION,HIGH,1.0,,
INVERTER9,2026-02-13,STABLE,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,
INVERTER9,2026-02-14,STABLE,INVERTER,SYSTEM ANOMALY,MEDIUM,0.5,,
INVERTER3,2026-04-25,CRITICAL,GRID,VOLTAGE FLUCTUATION,HIGH,0.94,Voltage instability,"Check reactive power of inverter, Measure grid voltage"
INVERTER11,2026-04-25,STABLE,INVERTER,NORMAL,LOW,0.21,,
INVERTER6,2026-04-25,DEGRADED,GRID,VOLTAGE FLUCTUATION,HIGH,0.78,,Due to changes in weather conditions
INVERTER1,2026-04-25,MONITOR,INVERTER,POWER DEGRADATION,MEDIUM,0.58,,
INVERTER9,2026-04-25,CRITICAL,INVERTER,SYSTEM ANOMALY,MEDIUM,0.52,Unidentified electrical anomaly,Check inverter logs and alarms
INVERTER14,2026-04-25,DEGRADED,INVERTER,PHASE IMBALANCE,HIGH,0.81,,Due to changes in weather conditions
INVERTER5,2026-04-25,STABLE,INVERTER,NORMAL,LOW,0.19,,
INVERTER2,2026-04-25,CRITICAL,STRING,STRING IMBALANCE,HIGH,0.93,String imbalance,Check string currents and connectors
INVERTER13,2026-04-25,MONITOR,GRID,PHASE IMBALANCE,MEDIUM,0.6,,
INVERTER7,2026-04-25,DEGRADED,INVERTER,POWER DEGRADATION,HIGH,0.76,,Due to changes in weather conditions
INVERTER10,2026-04-25,CRITICAL,GRID,PHASE IMBALANCE,HIGH,0.95,Phase imbalance,"Check transformer LV side phase voltages, DC combiner box fuse"
INVERTER4,2026-04-25,MONITOR,GRID,VOLTAGE FLUCTUATION,MEDIUM,0.55,,
INVERTER12,2026-04-25,STABLE,INVERTER,NORMAL,LOW,0.23,,
INVERTER8,2026-04-25,DEGRADED,GRID,GRID IMBALANCE,HIGH,0.8,,Due to changes in weather conditions
